`% X-coord, Y-coord, Polarization, wavelength, type, deviceID_params
-4450, -4475, TE, 1310, device, ref_exLg0_X-4450_Y-4475
-2650, -4475, TE, 1310, device, ref_exLg0_X-2650_Y-4475
-850, -4475, TE, 1310, device, ref_exLg0_X-850_Y-4475
-4450, -2270, TE, 1310, device, ref_exLg0_X-4450_Y-2270
-2650, -2270, TE, 1310, device, ref_exLg0_X-2650_Y-2270
-850, -2270, TE, 1310, device, ref_exLg0_X-850_Y-2270
-4450, -65, TE, 1310, device, ref_exLg0_X-4450_Y-65
-2650, -65, TE, 1310, device, ref_exLg0_X-2650_Y-65
-850, -65, TE, 1310, device, ref_exLg0_X-850_Y-65
-4450, 2140, TE, 1310, device, ref_exLg0_X-4450_Y2140
-2650, 2140, TE, 1310, device, ref_exLg0_X-2650_Y2140
-850, 2140, TE, 1310, device, ref_exLg0_X-850_Y2140
-4450, 4345, TE, 1310, device, ref_exLg0_X-4450_Y4345
-2650, 4345, TE, 1310, device, ref_exLg0_X-2650_Y4345
-850, 4345, TE, 1310, device, ref_exLg0_X-850_Y4345
-4400, -4475, TE, 1310, device, ref_exLg1470_X-4400_Y-4475
-2600, -4475, TE, 1310, device, ref_exLg1470_X-2600_Y-4475
-800, -4475, TE, 1310, device, ref_exLg1470_X-800_Y-4475
-4400, -2270, TE, 1310, device, ref_exLg1470_X-4400_Y-2270
-2600, -2270, TE, 1310, device, ref_exLg1470_X-2600_Y-2270
-800, -2270, TE, 1310, device, ref_exLg1470_X-800_Y-2270
-4400, -65, TE, 1310, device, ref_exLg1470_X-4400_Y-65
-2600, -65, TE, 1310, device, ref_exLg1470_X-2600_Y-65
-800, -65, TE, 1310, device, ref_exLg1470_X-800_Y-65
-4400, 2140, TE, 1310, device, ref_exLg1470_X-4400_Y2140
-2600, 2140, TE, 1310, device, ref_exLg1470_X-2600_Y2140
-800, 2140, TE, 1310, device, ref_exLg1470_X-800_Y2140
-4400, 4345, TE, 1310, device, ref_exLg1470_X-4400_Y4345
-2600, 4345, TE, 1310, device, ref_exLg1470_X-2600_Y4345
-800, 4345, TE, 1310, device, ref_exLg1470_X-800_Y4345
-850, -4275, TE, 1310, device, ST2ST_1Bond_X-850_Y-4275_Xoff100_Yoff0
-850, -2070, TE, 1310, device, ST2ST_1Bond_X-850_Y-2070_Xoff100_Yoff0
-850, 135, TE, 1310, device, ST2ST_1Bond_X-850_Y135_Xoff100_Yoff0
-850, 2340, TE, 1310, device, ST2ST_1Bond_X-850_Y2340_Xoff100_Yoff0
-850, -4075, TE, 1310, device, ST2ST_1Bond_X-850_Y-4075_Xoff100_Yoff0
-850, -1870, TE, 1310, device, ST2ST_1Bond_X-850_Y-1870_Xoff100_Yoff0
-850, 335, TE, 1310, device, ST2ST_1Bond_X-850_Y335_Xoff100_Yoff0
-850, 2540, TE, 1310, device, ST2ST_1Bond_X-850_Y2540_Xoff100_Yoff0
-850, -3875, TE, 1310, device, ST2ST_1Bond_X-850_Y-3875_Xoff100_Yoff0
-850, -1670, TE, 1310, device, ST2ST_1Bond_X-850_Y-1670_Xoff100_Yoff0
-850, 535, TE, 1310, device, ST2ST_1Bond_X-850_Y535_Xoff100_Yoff0
-850, 2740, TE, 1310, device, ST2ST_1Bond_X-850_Y2740_Xoff100_Yoff0
-850, -3675, TE, 1310, device, ST2ST_1Bond_X-850_Y-3675_Xoff100_Yoff0
-850, -1470, TE, 1310, device, ST2ST_1Bond_X-850_Y-1470_Xoff100_Yoff0
-850, 735, TE, 1310, device, ST2ST_1Bond_X-850_Y735_Xoff100_Yoff0
-850, 2940, TE, 1310, device, ST2ST_1Bond_X-850_Y2940_Xoff100_Yoff0
-850, -3475, TE, 1310, device, ST2ST_1Bond_X-850_Y-3475_Xoff100_Yoff0
-850, -1270, TE, 1310, device, ST2ST_1Bond_X-850_Y-1270_Xoff100_Yoff0
-850, 935, TE, 1310, device, ST2ST_1Bond_X-850_Y935_Xoff100_Yoff0
-850, 3140, TE, 1310, device, ST2ST_1Bond_X-850_Y3140_Xoff100_Yoff0
-850, -3275, TE, 1310, device, ST2ST_1Bond_X-850_Y-3275_Xoff100_Yoff0
-850, -1070, TE, 1310, device, ST2ST_1Bond_X-850_Y-1070_Xoff100_Yoff0
-850, 1135, TE, 1310, device, ST2ST_1Bond_X-850_Y1135_Xoff100_Yoff0
-850, 3340, TE, 1310, device, ST2ST_1Bond_X-850_Y3340_Xoff100_Yoff0
-850, -3075, TE, 1310, device, ST2ST_1Bond_X-850_Y-3075_Xoff100_Yoff0
-850, -870, TE, 1310, device, ST2ST_1Bond_X-850_Y-870_Xoff100_Yoff0
-850, 1335, TE, 1310, device, ST2ST_1Bond_X-850_Y1335_Xoff100_Yoff0
-850, 3540, TE, 1310, device, ST2ST_1Bond_X-850_Y3540_Xoff100_Yoff0
