-850, -870, TE, 1310, device, ST2ST_1Bond_X-850_Y-870_Xoff100_Yoff0
-850, -1670, TE, 1310, device, ST2ST_1Bond_X-850_Y-1670_Xoff100_Yoff0
-850, -1470, TE, 1310, device, ST2ST_1Bond_X-850_Y-1470_Xoff100_Yoff0
-850, -470, TE, 1310, device, ST2ST_1Bond_X-850_Y-470_Xoff100_Yoff0
-850, -1270, TE, 1310, device, ST2ST_1Bond_X-850_Y-1270_Xoff100_Yoff0
-850, -2070, TE, 1310, device, ST2ST_1Bond_X-850_Y-2070_Xoff100_Yoff0
-850, -1870, TE, 1310, device, ST2ST_1Bond_X-850_Y-1870_Xoff100_Yoff0
-850, -270, TE, 1310, device, ST2ST_1Bond_X-850_Y-270_Xoff100_Yoff0
-850, -670, TE, 1310, device, ST2ST_1Bond_X-850_Y-670_Xoff100_Yoff0
-850, -1070, TE, 1310, device, ST2ST_1Bond_X-850_Y-1070_Xoff100_Yoff0
-850, -3675, TE, 1310, device, ST2ST_1Bond_X-850_Y-3675_Xoff100_Yoff0
-850, -2675, TE, 1310, device, ST2ST_1Bond_X-850_Y-2675_Xoff100_Yoff0
-850, -3275, TE, 1310, device, ST2ST_1Bond_X-850_Y-3275_Xoff100_Yoff0
-850, -4275, TE, 1310, device, ST2ST_1Bond_X-850_Y-4275_Xoff100_Yoff0
-850, -2875, TE, 1310, device, ST2ST_1Bond_X-850_Y-2875_Xoff100_Yoff0
-850, -3075, TE, 1310, device, ST2ST_1Bond_X-850_Y-3075_Xoff100_Yoff0
-850, -2475, TE, 1310, device, ST2ST_1Bond_X-850_Y-2475_Xoff100_Yoff0
-850, -3475, TE, 1310, device, ST2ST_1Bond_X-850_Y-3475_Xoff100_Yoff0
-850, -3875, TE, 1310, device, ST2ST_1Bond_X-850_Y-3875_Xoff100_Yoff0
-850, -4075, TE, 1310, device, ST2ST_1Bond_X-850_Y-4075_Xoff100_Yoff0
-4450, -4475, TE, 1310, device, ref_exLg0_X-4450_Y-4475
-2650, -4475, TE, 1310, device, ref_exLg0_X-2650_Y-4475
-850, -4475, TE, 1310, device, ref_exLg0_X-850_Y-4475
-4450, -2270, TE, 1310, device, ref_exLg0_X-4450_Y-2270
-2650, -2270, TE, 1310, device, ref_exLg0_X-2650_Y-2270
-850, -2270, TE, 1310, device, ref_exLg0_X-850_Y-2270
-4400, -4475, TE, 1310, device, ref_exLg1470_X-4400_Y-4475
-2600, -4475, TE, 1310, device, ref_exLg1470_X-2600_Y-4475
-800, -4475, TE, 1310, device, ref_exLg1470_X-800_Y-4475
-4400, -2270, TE, 1310, device, ref_exLg1470_X-4400_Y-2270
-2600, -2270, TE, 1310, device, ref_exLg1470_X-2600_Y-2270
-800, -2270, TE, 1310, device, ref_exLg1470_X-800_Y-2270
-3590, -4475, TE, 1550, device, ref_exLg0_X-3590_Y-4475
-1790, -4475, TE, 1550, device, ref_exLg0_X-1790_Y-4475
-3590, -2270, TE, 1550, device, ref_exLg0_X-3590_Y-2270
-1790, -2270, TE, 1550, device, ref_exLg0_X-1790_Y-2270
-3530, -4475, TE, 1550, device, ref_exLg1470_X-3530_Y-4475
-1730, -4475, TE, 1550, device, ref_exLg1470_X-1730_Y-4475
-3530, -2270, TE, 1550, device, ref_exLg1470_X-3530_Y-2270
-1730, -2270, TE, 1550, device, ref_exLg1470_X-1730_Y-2270
