["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","TE",1,"port 1",1,"transmission",4.50997e-14)
(52, 3)
2.1724091159420291e+14 9.8781947068271019e-03 -2.7089484581906809e+00
2.1774146669004209e+14 9.9502952508275580e-03 -2.8490393644220942e+00
2.1824202178588125e+14 1.0038501292435791e-02 -2.9901204974999698e+00
2.1874257688172044e+14 1.0130395824554923e-02 -3.1253735625192620e+00
2.1924313197755962e+14 1.0139806842308030e-02 -3.2605130417327590e+00
2.1974368707339878e+14 1.0080764189225058e-02 -3.4000891193591811e+00
2.2024424216923797e+14 9.9371059537081349e-03 -3.5500615947221967e+00
2.2074479726507716e+14 9.7294311028864513e-03 -3.7188046113109712e+00
2.2124535236091631e+14 9.6004646334120775e-03 -3.9216072945893559e+00
2.2174590745675550e+14 9.7847264582391034e-03 -4.1401215337826596e+00
2.2224646255259469e+14 1.0179591870855702e-02 -4.3758238339284645e+00
2.2274701764843384e+14 1.1445531896817534e-02 -4.6001093274363152e+00
2.2324757274427303e+14 1.2482121398203807e-02 -4.7390717658113930e+00
2.2374812784011222e+14 1.3323747967709141e-02 -4.9674277647175735e+00
2.2424868293595138e+14 1.6079961475957760e-02 -5.1030737475506829e+00
2.2474923803179056e+14 1.5953440661664105e-02 -5.1681644132394711e+00
2.2524979312762975e+14 1.6911835658591407e-02 -5.5005625594266343e+00
2.2575034822346891e+14 2.1185333840418413e-02 -5.5877662222869029e+00
2.2625090331930809e+14 1.9269508081578346e-02 -5.7656388161268000e+00
2.2675145841514728e+14 2.6520701966060174e-02 -6.1912994640044490e+00
2.2725201351098644e+14 3.5220764068607129e-02 -6.1774036998264279e+00
2.2775256860682562e+14 3.8761263791412280e-02 -6.3781015365987166e+00
2.2825312370266481e+14 5.7927329429590509e-02 -6.5034279378858901e+00
2.2875367879850400e+14 7.2165840368410630e-02 -6.4033102110649427e+00
2.2925423389434316e+14 8.1981984072783717e-02 -6.4523656108068321e+00
2.2948156099111853e+14 9.1871753949922322e-02 -6.4770299704463516e+00
2.2952746189340697e+14 9.4202950511116254e-02 -6.4770299704463516e+00
2.2975478899018234e+14 1.0589642410006332e-01 -6.4524054638320107e+00
2.3025534408602150e+14 1.2292349008816687e-01 -6.3466868679380433e+00
2.3075589918186069e+14 1.3318155997957429e-01 -6.3249769485555145e+00
2.3125645427769988e+14 1.5364791721975909e-01 -6.3081460176257185e+00
2.3175700937353906e+14 1.7057632579147919e-01 -6.2306408101809865e+00
2.3225756446937822e+14 1.7927077602134850e-01 -6.1901723318440292e+00
2.3275811956521741e+14 1.9408971471450925e-01 -6.1770411663674656e+00
2.3325867466105659e+14 2.1044433317931494e-01 -6.1269254874973074e+00
2.3375922975689575e+14 2.1921518039271756e-01 -6.0775157883372506e+00
2.3425978485273494e+14 2.2825347855556125e-01 -6.0530977305411104e+00
2.3476033994857412e+14 2.3989058908336619e-01 -6.0150289458258817e+00
2.3526089504441328e+14 2.4574611160776627e-01 -5.9658980268810256e+00
2.3576145014025247e+14 2.4780138035760690e-01 -5.9349844001074921e+00
2.3626200523609166e+14 2.5137240757606283e-01 -5.9087107623769644e+00
2.3676256033193081e+14 2.5234266477006045e-01 -5.8743636934791637e+00
2.3726311542777000e+14 2.4952746572212267e-01 -5.8506284877272474e+00
2.3776367052360919e+14 2.4779279572791285e-01 -5.8358762745622004e+00
2.3826422561944834e+14 2.4550810441668272e-01 -5.8127871083358684e+00
2.3876478071528753e+14 2.3947441902590605e-01 -5.7906515658246809e+00
2.3926533581112672e+14 2.3226916007007639e-01 -5.7777577525674104e+00
2.3976589090696588e+14 2.2454312490369402e-01 -5.7636209251147177e+00
